Distance,Value
42.59,"{'Distance': 42.59, 'Time': '2022-02-06 12:59:10.651331', 'value': 1}"
59.59,"{'Distance': 59.59, 'Time': '2022-02-06 12:59:12.753704', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:59:14.569004', 'value': 0}"
58.8,"{'Distance': 58.8, 'Time': '2022-02-06 12:59:16.377579', 'value': 0}"
59.62,"{'Distance': 59.62, 'Time': '2022-02-06 12:59:18.246593', 'value': 0}"
59.57,"{'Distance': 59.57, 'Time': '2022-02-06 12:59:20.064506', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:59:21.926462', 'value': 0}"
59.19,"{'Distance': 59.19, 'Time': '2022-02-06 12:59:23.765986', 'value': 0}"
26.49,"{'Distance': 26.49, 'Time': '2022-02-06 12:59:26.103272', 'value': 1}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:59:27.947740', 'value': 0}"
59.21,"{'Distance': 59.21, 'Time': '2022-02-06 12:59:29.799435', 'value': 0}"
56.1,"{'Distance': 56.1, 'Time': '2022-02-06 12:59:32.146890', 'value': 1}"
11.56,"{'Distance': 11.56, 'Time': '2022-02-06 12:59:34.484765', 'value': 1}"
59.6,"{'Distance': 59.6, 'Time': '2022-02-06 12:59:36.302800', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:59:38.140650', 'value': 0}"
32.36,"{'Distance': 32.36, 'Time': '2022-02-06 12:59:40.516415', 'value': 1}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:59:42.350619', 'value': 0}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 12:59:44.203853', 'value': 0}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 12:59:46.037746', 'value': 0}"
60.08,"{'Distance': 60.08, 'Time': '2022-02-06 12:59:47.880894', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:59:49.712592', 'value': 0}"
59.61,"{'Distance': 59.61, 'Time': '2022-02-06 12:59:51.539902', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:59:53.374866', 'value': 0}"
60.21,"{'Distance': 60.21, 'Time': '2022-02-06 12:59:55.229483', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 12:59:57.080314', 'value': 0}"
59.55,"{'Distance': 59.55, 'Time': '2022-02-06 12:59:59.511785', 'value': 0}"
43.04,"{'Distance': 43.04, 'Time': '2022-02-06 13:00:01.853675', 'value': 1}"
58.64,"{'Distance': 58.64, 'Time': '2022-02-06 13:00:03.724929', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 13:00:05.527781', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 13:00:07.395210', 'value': 0}"
30.62,"{'Distance': 30.62, 'Time': '2022-02-06 13:00:09.753988', 'value': 1}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 13:00:11.584870', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 13:00:13.429272', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 13:00:15.277263', 'value': 0}"
60.99,"{'Distance': 60.99, 'Time': '2022-02-06 13:00:17.075249', 'value': 0}"
59.1,"{'Distance': 59.1, 'Time': '2022-02-06 13:00:18.955602', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 13:00:20.773901', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 13:00:22.640498', 'value': 0}"
60.58,"{'Distance': 60.58, 'Time': '2022-02-06 13:00:24.506160', 'value': 0}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 13:00:26.363380', 'value': 0}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 13:00:28.198839', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 13:00:30.070786', 'value': 0}"
60.63,"{'Distance': 60.63, 'Time': '2022-02-06 13:00:31.920711', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 13:00:33.784756', 'value': 0}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 13:00:35.641564', 'value': 0}"
58.32,"{'Distance': 58.32, 'Time': '2022-02-06 13:00:37.489372', 'value': 0}"
60.05,"{'Distance': 60.05, 'Time': '2022-02-06 13:00:39.340860', 'value': 0}"
58.68,"{'Distance': 58.68, 'Time': '2022-02-06 13:00:41.165404', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 13:00:42.991465', 'value': 0}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 13:00:44.815894', 'value': 0}"
28.36,"{'Distance': 28.36, 'Time': '2022-02-06 13:00:47.142529', 'value': 1}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 13:00:48.975839', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 13:00:50.817600', 'value': 0}"
58.68,"{'Distance': 58.68, 'Time': '2022-02-06 13:00:52.672661', 'value': 0}"
15.38,"{'Distance': 15.38, 'Time': '2022-02-06 13:00:55.021630', 'value': 1}"
58.68,"{'Distance': 58.68, 'Time': '2022-02-06 13:00:56.950374', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 13:00:59.340287', 'value': 0}"
59.67,"{'Distance': 59.67, 'Time': '2022-02-06 13:01:01.192834', 'value': 0}"
58.35,"{'Distance': 58.35, 'Time': '2022-02-06 13:01:03.033511', 'value': 0}"
58.69,"{'Distance': 58.69, 'Time': '2022-02-06 13:01:04.861435', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 13:01:06.699412', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 13:01:08.561016', 'value': 0}"
58.32,"{'Distance': 58.32, 'Time': '2022-02-06 13:01:10.401454', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 13:01:12.251539', 'value': 0}"
58.33,"{'Distance': 58.33, 'Time': '2022-02-06 13:01:14.117295', 'value': 0}"
59.6,"{'Distance': 59.6, 'Time': '2022-02-06 13:01:15.966615', 'value': 0}"
58.29,"{'Distance': 58.29, 'Time': '2022-02-06 13:01:17.819588', 'value': 0}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 13:01:19.634276', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 13:01:21.446573', 'value': 0}"
28.57,"{'Distance': 28.57, 'Time': '2022-02-06 13:01:23.771048', 'value': 1}"
58.31,"{'Distance': 58.31, 'Time': '2022-02-06 13:01:25.580340', 'value': 0}"
58.31,"{'Distance': 58.31, 'Time': '2022-02-06 13:01:27.416618', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 13:01:29.268291', 'value': 0}"
16.15,"{'Distance': 16.15, 'Time': '2022-02-06 13:01:31.617324', 'value': 1}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 13:01:33.453095', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 13:01:35.286612', 'value': 0}"
44.42,"{'Distance': 44.42, 'Time': '2022-02-06 13:01:37.606110', 'value': 1}"
58.36,"{'Distance': 58.36, 'Time': '2022-02-06 13:01:39.456815', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 13:01:41.296515', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 13:01:43.124021', 'value': 0}"
32.79,"{'Distance': 32.79, 'Time': '2022-02-06 13:01:45.595654', 'value': 1}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 13:01:47.433344', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 13:01:49.259088', 'value': 0}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 13:01:51.118349', 'value': 0}"
60.08,"{'Distance': 60.08, 'Time': '2022-02-06 13:01:52.952339', 'value': 0}"
58.33,"{'Distance': 58.33, 'Time': '2022-02-06 13:01:54.784395', 'value': 0}"
58.68,"{'Distance': 58.68, 'Time': '2022-02-06 13:01:56.631124', 'value': 0}"
58.25,"{'Distance': 58.25, 'Time': '2022-02-06 13:01:58.820922', 'value': 0}"
60.58,"{'Distance': 60.58, 'Time': '2022-02-06 13:02:00.857149', 'value': 0}"
58.33,"{'Distance': 58.33, 'Time': '2022-02-06 13:02:02.773925', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 13:02:04.601736', 'value': 0}"
59.52,"{'Distance': 59.52, 'Time': '2022-02-06 13:02:06.414237', 'value': 0}"
60.1,"{'Distance': 60.1, 'Time': '2022-02-06 13:02:08.239036', 'value': 0}"
58.32,"{'Distance': 58.32, 'Time': '2022-02-06 13:02:10.070305', 'value': 0}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 13:02:11.884928', 'value': 0}"
58.32,"{'Distance': 58.32, 'Time': '2022-02-06 13:02:13.713541', 'value': 0}"
60.11,"{'Distance': 60.11, 'Time': '2022-02-06 13:02:15.556670', 'value': 0}"
58.78,"{'Distance': 58.78, 'Time': '2022-02-06 13:02:17.410848', 'value': 0}"
58.77,"{'Distance': 58.77, 'Time': '2022-02-06 13:02:19.248970', 'value': 0}"
58.35,"{'Distance': 58.35, 'Time': '2022-02-06 13:02:21.084815', 'value': 0}"
60.14,"{'Distance': 60.14, 'Time': '2022-02-06 13:02:22.913788', 'value': 0}"
58.77,"{'Distance': 58.77, 'Time': '2022-02-06 13:02:24.734690', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 13:02:26.569949', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 13:02:28.439963', 'value': 0}"
59.71,"{'Distance': 59.71, 'Time': '2022-02-06 13:02:30.284251', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 13:02:32.104492', 'value': 0}"
58.78,"{'Distance': 58.78, 'Time': '2022-02-06 13:02:33.958384', 'value': 0}"
59.22,"{'Distance': 59.22, 'Time': '2022-02-06 13:02:35.778130', 'value': 0}"
19.2,"{'Distance': 19.2, 'Time': '2022-02-06 13:02:38.100384', 'value': 1}"
59.22,"{'Distance': 59.22, 'Time': '2022-02-06 13:02:39.925599', 'value': 0}"
58.82,"{'Distance': 58.82, 'Time': '2022-02-06 13:02:41.745427', 'value': 0}"
60.37,"{'Distance': 60.37, 'Time': '2022-02-06 13:02:43.530333', 'value': 0}"
60.49,"{'Distance': 60.49, 'Time': '2022-02-06 13:02:45.325156', 'value': 0}"
59.59,"{'Distance': 59.59, 'Time': '2022-02-06 13:02:47.163740', 'value': 0}"
59.6,"{'Distance': 59.6, 'Time': '2022-02-06 13:02:49.003330', 'value': 0}"
59.63,"{'Distance': 59.63, 'Time': '2022-02-06 13:02:50.810004', 'value': 0}"
20.77,"{'Distance': 20.77, 'Time': '2022-02-06 13:02:53.126029', 'value': 1}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 13:02:54.945718', 'value': 0}"
59.57,"{'Distance': 59.57, 'Time': '2022-02-06 13:02:56.819452', 'value': 0}"
36.41,"{'Distance': 36.41, 'Time': '2022-02-06 13:02:59.673989', 'value': 1}"
59.55,"{'Distance': 59.55, 'Time': '2022-02-06 13:03:01.529803', 'value': 0}"
59.61,"{'Distance': 59.61, 'Time': '2022-02-06 13:03:03.333763', 'value': 0}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 13:03:05.113923', 'value': 0}"
30.73,"{'Distance': 30.73, 'Time': '2022-02-06 13:03:07.426803', 'value': 1}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 13:03:09.298112', 'value': 0}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 13:03:11.148976', 'value': 0}"
57.11,"{'Distance': 57.11, 'Time': '2022-02-06 13:03:13.511036', 'value': 1}"
58.78,"{'Distance': 58.78, 'Time': '2022-02-06 13:03:15.368253', 'value': 0}"
58.77,"{'Distance': 58.77, 'Time': '2022-02-06 13:03:17.206018', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 13:03:19.032811', 'value': 0}"
58.78,"{'Distance': 58.78, 'Time': '2022-02-06 13:03:20.845424', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 13:03:22.681619', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 13:03:24.506185', 'value': 0}"
58.79,"{'Distance': 58.79, 'Time': '2022-02-06 13:03:26.366404', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 13:03:28.212725', 'value': 0}"
