Distance,Value
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:51:39.630353', 'value': 0}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:51:41.475750', 'value': 0}"
59.69,"{'Distance': 59.69, 'Time': '2022-02-06 12:51:43.312839', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:51:45.166290', 'value': 0}"
58.79,"{'Distance': 58.79, 'Time': '2022-02-06 12:51:47.012191', 'value': 0}"
58.82,"{'Distance': 58.82, 'Time': '2022-02-06 12:51:48.824018', 'value': 0}"
33.38,"{'Distance': 33.38, 'Time': '2022-02-06 12:51:51.187447', 'value': 1}"
59.59,"{'Distance': 59.59, 'Time': '2022-02-06 12:51:53.027794', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:51:54.867391', 'value': 0}"
59.97,"{'Distance': 59.97, 'Time': '2022-02-06 12:51:56.698022', 'value': 0}"
60.55,"{'Distance': 60.55, 'Time': '2022-02-06 12:51:58.985694', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:52:00.913121', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:52:02.751652', 'value': 0}"
59.6,"{'Distance': 59.6, 'Time': '2022-02-06 12:52:04.581648', 'value': 0}"
60.92,"{'Distance': 60.92, 'Time': '2022-02-06 12:52:06.416104', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:52:08.265466', 'value': 0}"
59.51,"{'Distance': 59.51, 'Time': '2022-02-06 12:52:10.059483', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:52:11.919091', 'value': 0}"
30.74,"{'Distance': 30.74, 'Time': '2022-02-06 12:52:14.285551', 'value': 1}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:52:16.102993', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:52:17.927750', 'value': 0}"
58.3,"{'Distance': 58.3, 'Time': '2022-02-06 12:52:19.749879', 'value': 0}"
30.32,"{'Distance': 30.32, 'Time': '2022-02-06 12:52:22.061155', 'value': 1}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:52:23.898536', 'value': 0}"
58.33,"{'Distance': 58.33, 'Time': '2022-02-06 12:52:25.737960', 'value': 0}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:52:27.575304', 'value': 0}"
31.03,"{'Distance': 31.03, 'Time': '2022-02-06 12:52:29.926016', 'value': 1}"
59.62,"{'Distance': 59.62, 'Time': '2022-02-06 12:52:31.773229', 'value': 0}"
59.21,"{'Distance': 59.21, 'Time': '2022-02-06 12:52:33.595619', 'value': 0}"
59.53,"{'Distance': 59.53, 'Time': '2022-02-06 12:52:35.445433', 'value': 0}"
30.97,"{'Distance': 30.97, 'Time': '2022-02-06 12:52:37.771153', 'value': 1}"
59.09,"{'Distance': 59.09, 'Time': '2022-02-06 12:52:39.621935', 'value': 0}"
59.55,"{'Distance': 59.55, 'Time': '2022-02-06 12:52:41.435344', 'value': 0}"
59.53,"{'Distance': 59.53, 'Time': '2022-02-06 12:52:43.270778', 'value': 0}"
30.01,"{'Distance': 30.01, 'Time': '2022-02-06 12:52:45.610683', 'value': 1}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:52:47.458954', 'value': 0}"
60.0,"{'Distance': 60.0, 'Time': '2022-02-06 12:52:49.263136', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 12:52:51.087245', 'value': 0}"
60.5,"{'Distance': 60.5, 'Time': '2022-02-06 12:52:52.958266', 'value': 0}"
58.37,"{'Distance': 58.37, 'Time': '2022-02-06 12:52:54.784499', 'value': 0}"
58.3,"{'Distance': 58.3, 'Time': '2022-02-06 12:52:56.605672', 'value': 0}"
58.4,"{'Distance': 58.4, 'Time': '2022-02-06 12:52:58.809915', 'value': 0}"
58.8,"{'Distance': 58.8, 'Time': '2022-02-06 12:53:00.855952', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:53:02.685736', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:53:04.506958', 'value': 0}"
59.88,"{'Distance': 59.88, 'Time': '2022-02-06 12:53:06.327135', 'value': 0}"
31.98,"{'Distance': 31.98, 'Time': '2022-02-06 12:53:08.668721', 'value': 1}"
59.52,"{'Distance': 59.52, 'Time': '2022-02-06 12:53:10.501184', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:53:12.321078', 'value': 0}"
59.56,"{'Distance': 59.56, 'Time': '2022-02-06 12:53:14.132076', 'value': 0}"
33.01,"{'Distance': 33.01, 'Time': '2022-02-06 12:53:16.458639', 'value': 1}"
58.72,"{'Distance': 58.72, 'Time': '2022-02-06 12:53:18.297932', 'value': 0}"
59.09,"{'Distance': 59.09, 'Time': '2022-02-06 12:53:20.141969', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:53:22.014487', 'value': 0}"
33.84,"{'Distance': 33.84, 'Time': '2022-02-06 12:53:24.371446', 'value': 1}"
58.39,"{'Distance': 58.39, 'Time': '2022-02-06 12:53:26.209072', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 12:53:28.067347', 'value': 0}"
58.32,"{'Distance': 58.32, 'Time': '2022-02-06 12:53:29.882843', 'value': 0}"
34.94,"{'Distance': 34.94, 'Time': '2022-02-06 12:53:32.222346', 'value': 1}"
59.22,"{'Distance': 59.22, 'Time': '2022-02-06 12:53:34.082408', 'value': 0}"
58.35,"{'Distance': 58.35, 'Time': '2022-02-06 12:53:35.923454', 'value': 0}"
58.77,"{'Distance': 58.77, 'Time': '2022-02-06 12:53:37.702127', 'value': 0}"
35.77,"{'Distance': 35.77, 'Time': '2022-02-06 12:53:40.023187', 'value': 1}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:53:41.874346', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 12:53:43.694387', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:53:45.492062', 'value': 0}"
37.23,"{'Distance': 37.23, 'Time': '2022-02-06 12:53:47.806310', 'value': 1}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:53:49.603070', 'value': 0}"
59.22,"{'Distance': 59.22, 'Time': '2022-02-06 12:53:51.425722', 'value': 0}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:53:53.282610', 'value': 0}"
37.7,"{'Distance': 37.7, 'Time': '2022-02-06 12:53:55.600582', 'value': 1}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 12:53:57.650868', 'value': 0}"
59.14,"{'Distance': 59.14, 'Time': '2022-02-06 12:54:00.028261', 'value': 0}"
58.76,"{'Distance': 58.76, 'Time': '2022-02-06 12:54:01.895629', 'value': 0}"
60.9,"{'Distance': 60.9, 'Time': '2022-02-06 12:54:03.736407', 'value': 0}"
58.79,"{'Distance': 58.79, 'Time': '2022-02-06 12:54:05.594958', 'value': 0}"
58.74,"{'Distance': 58.74, 'Time': '2022-02-06 12:54:07.433326', 'value': 0}"
58.71,"{'Distance': 58.71, 'Time': '2022-02-06 12:54:09.228643', 'value': 0}"
30.51,"{'Distance': 30.51, 'Time': '2022-02-06 12:54:11.571291', 'value': 1}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:54:13.409179', 'value': 0}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:54:15.233663', 'value': 0}"
58.7,"{'Distance': 58.7, 'Time': '2022-02-06 12:54:17.119427', 'value': 0}"
28.57,"{'Distance': 28.57, 'Time': '2022-02-06 12:54:19.434460', 'value': 1}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:54:21.274753', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:54:23.124066', 'value': 0}"
59.6,"{'Distance': 59.6, 'Time': '2022-02-06 12:54:24.980369', 'value': 0}"
25.9,"{'Distance': 25.9, 'Time': '2022-02-06 12:54:27.314304', 'value': 1}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:54:29.162490', 'value': 0}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:54:30.993287', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:54:32.827834', 'value': 0}"
22.14,"{'Distance': 22.14, 'Time': '2022-02-06 12:54:35.158544', 'value': 1}"
59.16,"{'Distance': 59.16, 'Time': '2022-02-06 12:54:37.016466', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:54:38.848869', 'value': 0}"
59.07,"{'Distance': 59.07, 'Time': '2022-02-06 12:54:40.701326', 'value': 0}"
47.97,"{'Distance': 47.97, 'Time': '2022-02-06 12:54:43.039361', 'value': 1}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:54:44.855512', 'value': 0}"
59.08,"{'Distance': 59.08, 'Time': '2022-02-06 12:54:46.683087', 'value': 0}"
58.73,"{'Distance': 58.73, 'Time': '2022-02-06 12:54:48.491390', 'value': 0}"
13.94,"{'Distance': 13.94, 'Time': '2022-02-06 12:54:50.815717', 'value': 1}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:54:52.653960', 'value': 0}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:54:54.482684', 'value': 0}"
44.12,"{'Distance': 44.12, 'Time': '2022-02-06 12:54:56.840266', 'value': 1}"
58.68,"{'Distance': 58.68, 'Time': '2022-02-06 12:54:59.342865', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:55:01.211804', 'value': 0}"
58.32,"{'Distance': 58.32, 'Time': '2022-02-06 12:55:03.054375', 'value': 0}"
